Remover luminária do cadastro?;FID do Objeto;Tipo de Lâmpada;Potência Individual da Lâmpada (W);Fase;Modo de Operação;Quantidade de Lâmpadas;Quantidade de Reatores;Perda Individual Reator (W);Quantidade de Relefotoelétrico;Perda Individual do Relefotoelétrico (W);Perda Outros Equipamentos (W);Telegestão;Proprietário;Comando IP;Trecho Secundário;Conectado;Energizado;Nome do Município;Área do Objeto;Data Cadastro Mapa;Latitude;Longitude;UTM (X);UTM (Y);Data de Ligação;Data de Comunicação
Não;6227526;Vapor de Mercúrio;250;A;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;15/09/10 00:00;-29.02023096272;-49.45096690786;650856.13;6788783.53;15/09/10 00:00;15/09/10 00:00
Não;13876120;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;29/07/22 00:00;-29.00038694308;-49.43751906258;652195.041;6790965.259;28/07/22 00:00;28/07/22 00:00
Não;13876295;Diodo Emissor de Luz (LED);100;B;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;29/07/22 00:00;-28.99956500087;-49.43841224908;652109.23156;6791057.4915;28/07/22 00:00;28/07/22 00:00
Não;13876371;Diodo Emissor de Luz (LED);100;B;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;29/07/22 00:00;-28.99876675898;-49.43889661001;652063.214;6791146.571;28/07/22 00:00;28/07/22 00:00
Não;13876380;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;29/07/22 00:00;-28.99861489881;-49.43944744192;652009.774;6791164.108;28/07/22 00:00;28/07/22 00:00
Não;6235408;Vapor de Sódio;70;C;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;30/09/15 00:00;-29.04859184935;-49.47481892444;648492.34;6785671.02;30/09/15 00:00;30/09/15 00:00
Não;6237137;Vapor de Mercúrio;250;B;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;18/06/08 00:00;-28.98293254522;-49.41661696175;654257.22;6792872.34;18/06/08 00:00;18/06/08 00:00
Não;14128934;Diodo Emissor de Luz (LED);100;B;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.95937397012;-49.38794380328;657086.61;6795445.21;14/10/09 00:00;14/10/09 00:00
Não;14129045;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.95884600311;-49.38404326988;657467.55;6795498.53;17/09/05 00:00;17/09/05 00:00
Não;14129081;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-29.02659588775;-49.45486793364;650466.94;6788083.19;13/11/09 00:00;13/11/09 00:00
Não;6239326;Multivapores Metálicos;400;A;Individual;1;1;29;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;09/04/08 00:00;-29.01769856109;-49.44637647857;651306.93;6789058.28;09/04/08 00:00;09/04/08 00:00
Não;6247213;Vapor de Mercúrio;250;C;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/02/07 00:00;-28.98549175161;-49.41811584580;654107.38;6792590.7;24/02/07 00:00;24/02/07 00:00
Não;6247675;Vapor de Mercúrio;250;C;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/02/07 00:00;-28.98533158169;-49.41830066440;654089.61;6792608.69;24/02/07 00:00;24/02/07 00:00
Não;6250005;Vapor de Sódio;250;C;Individual;1;1;30;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.99126767927;-49.42852728446;653084.45;6791964.18;01/01/20 00:00;01/01/20 00:00
Não;14125081;Vapor de Sódio;70;B;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.08961366396;-49.51681801622;644345.61;6781177.44;21/03/23 00:00;21/03/23 00:00
Não;14125336;Diodo Emissor de Luz (LED);100;B;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.08941594040;-49.51614679196;644411.21829;6781198.5276;21/03/23 00:00;21/03/23 00:00
Não;14125421;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.08746405931;-49.51554827644;644472.19878;6781414.0869;21/03/23 00:00;21/03/23 00:00
Não;14125422;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.08778684531;-49.51584906443;644442.471;6781378.687;21/03/23 00:00;21/03/23 00:00
Não;6260952;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;12/07/02 00:00;-28.98431789771;-49.41838495744;654082.9;6792721.13;12/07/02 00:00;12/07/02 00:00
Não;6260956;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;12/07/02 00:00;-28.98412834096;-49.41864924792;654057.43;6792742.48;12/07/02 00:00;12/07/02 00:00
Não;6260961;Vapor de Mercúrio;250;C;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/02/07 00:00;-28.98511242618;-49.41855729998;654064.93;6792633.31;24/02/07 00:00;24/02/07 00:00
Não;6260965;Vapor de Mercúrio;250;B;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/02/07 00:00;-28.98553270249;-49.41900413816;654020.77;6792587.32;24/02/07 00:00;24/02/07 00:00
Não;6260970;Vapor de Mercúrio;250;B;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/02/07 00:00;-28.98573142533;-49.41876721120;654043.56;6792564.99;24/02/07 00:00;24/02/07 00:00
Não;6260977;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;20/02/09 00:00;-28.98475384546;-49.41785499528;654133.89;6792672.13;20/02/09 00:00;20/02/09 00:00
Não;6260981;Vapor de Mercúrio;250;C;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;20/02/09 00:00;-28.98530938207;-49.41768714792;654149.42;6792610.35;20/02/09 00:00;20/02/09 00:00
Não;6260987;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;20/02/09 00:00;-28.98518049325;-49.41733245728;654184.17;6792624.17;20/02/09 00:00;20/02/09 00:00
Não;6260992;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98541801445;-49.41704167003;654212.15;6792597.47;01/01/20 00:00;01/01/20 00:00
Não;6260996;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98564522715;-49.41676448358;654238.82;6792571.93;01/01/20 00:00;01/01/20 00:00
Não;6262278;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;20/02/09 00:00;-28.98499525326;-49.41755696690;654162.57;6792644.99;20/02/09 00:00;20/02/09 00:00
Não;6262447;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;12/07/02 00:00;-28.98454473300;-49.41812913037;654107.49;6792695.66;12/07/02 00:00;12/07/02 00:00
Não;6262453;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;12/07/02 00:00;-28.98384425912;-49.41898579651;654025.05954;6792774.3987;12/07/02 00:00;12/07/02 00:00
Não;6266717;Vapor de Sódio;250;B;Individual;1;1;30;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Rural;01/01/20 00:00;-28.97748757538;-49.42604238757;653346.88;6793487.98;01/01/20 00:00;01/01/20 00:00
Não;6279519;Vapor de Mercúrio;250;C;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/02/07 00:00;-28.98512109976;-49.41883438216;654037.92;6792632.71;24/02/07 00:00;24/02/07 00:00
Não;6279539;Vapor de Mercúrio;250;C;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/02/07 00:00;-28.98492970231;-49.41860462329;654060.59;6792653.62;24/02/07 00:00;24/02/07 00:00
Não;6279544;Vapor de Mercúrio;250;C;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;12/07/02 00:00;-28.98470147075;-49.41834289096;654086.43;6792678.57;12/07/02 00:00;12/07/02 00:00
Não;14320909;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;09/10/23 00:00;-28.99850649448;-49.42445683172;653470.33;6791156.74;09/10/23 00:00;09/10/23 00:00
Não;14321411;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;09/10/23 00:00;-28.99754638831;-49.42823116633;653104.046;6791268.03;09/10/23 00:00;09/10/23 00:00
Não;14321413;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;09/10/23 00:00;-28.99783465145;-49.42800237798;653125.91;6791235.79;09/10/23 00:00;09/10/23 00:00
Não;14128909;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-29.03571772029;-49.46397843815;649566.48;6787083.95;01/01/20 00:00;01/01/20 00:00
Não;14128911;Vapor de Mercúrio;80;A;Individual;1;1;10.91;1;1.2;0;Não;BALN ARROIO DO SILVA;;534305;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 12:32;-28.96628779120;-49.39009099941;656866.92;6794681.91;23/08/05 00:00;23/08/05 00:00
Não;14129058;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.97048587779;-49.39979019422;655915.42;6794229.53;11/04/17 00:00;11/04/17 00:00
Não;14125915;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.0199143804;-49.44845552074;651101.2;6788815.4;28/04/02 00:00;28/04/02 00:00
Não;14125924;Vapor de Sódio;70;A;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.09049163684;-49.51455941679;644564.22;6781077.38;21/03/23 00:00;21/03/23 00:00
Não;14126046;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.03557711564;-49.46722393027;649250.62;6787103.64;02/10/09 00:00;02/10/09 00:00
Não;14126683;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;22/03/23 00:00;-29.08638444484;-49.51000912712;645012.866;6781526.917;22/03/23 00:00;22/03/23 00:00
Não;14127069;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;22/03/23 00:00;-29.02739009095;-49.45371544071;650578.033;6787993.712;13/11/09 00:00;13/11/09 00:00
Não;14128895;Diodo Emissor de Luz (LED);100;A;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.95647891340;-49.39241297690;656655.41;6795771.95;01/06/01 00:00;01/06/01 00:00
Não;14128907;Vapor de Sódio;70;C;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-29.00204932077;-49.44010961663;651940.24;6790784.38;01/01/20 00:00;01/01/20 00:00
Não;14124766;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;20/03/23 00:00;-29.09320943588;-49.51857777527;644169.317;6780781.138;20/03/23 00:00;20/03/23 00:00
Não;14125082;Vapor de Sódio;70;B;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.08985269819;-49.51704493398;644323.19;6781151.23;21/03/23 00:00;21/03/23 00:00
Não;14125838;Vapor de Sódio;70;C;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;21/03/23 00:00;-29.08940473986;-49.51462299700;644559.55;6781197.9;21/03/23 00:00;21/03/23 00:00
Não;14127053;Vapor de Sódio;70;C;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;22/03/23 00:00;-29.00066816581;-49.42959881921;652966.20899;6790923.8660;01/01/09 00:00;01/01/09 00:00
Não;14127057;Vapor de Mercúrio;80;B;Individual;1;1;10.91;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;22/03/23 00:00;-28.96005579810;-49.38717311653;657160.69;6795368.63;14/10/09 00:00;14/10/09 00:00
Não;14128912;Vapor de Mercúrio;80;C;Individual;1;1;10.91;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.99443052613;-49.42248466893;653668.49;6791605.85;01/01/20 00:00;01/01/20 00:00
Não;14128924;Vapor de Mercúrio;80;C;Individual;1;1;10.91;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.98699596630;-49.42185332009;653741.0;6792428.88;01/01/20 00:00;01/01/20 00:00
Não;14128932;Vapor de Sódio;70;B;Individual;1;1;14;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.96899573663;-49.39409815507;656472.34;6794387.14;30/08/10 00:00;30/08/10 00:00
Não;14129046;Vapor de Mercúrio;80;A;Individual;1;1;10.91;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.95864682203;-49.38380882861;657490.7;6795520.29;17/09/05 00:00;17/09/05 00:00
Não;14129057;Vapor de Mercúrio;80;B;Individual;1;1;10.91;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-28.97071313742;-49.39952748134;655940.68;6794204.0;11/04/17 00:00;11/04/17 00:00
Não;14129083;Vapor de Mercúrio;80;A;Individual;1;1;10.91;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-29.02640779642;-49.45449689248;650503.35;6788103.56;13/11/09 00:00;13/11/09 00:00
Não;14129091;Diodo Emissor de Luz (LED);50;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;24/03/23 00:00;-29.00633222145;-49.43911707527;652030.66;6790308.5;07/11/19 00:00;07/11/19 00:00
Não;6317925;Vapor de Mercúrio;250;C;Grupo;1;1;27.78;0;0;0;Não;BALN ARROIO DO SILVA;26288;1813516;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98746658627;-49.41342087183;654561.89;6792365.73;01/01/20 00:00;01/01/20 00:00
Não;6317932;Vapor de Mercúrio;250;C;Grupo;1;1;27.78;0;0;0;Não;BALN ARROIO DO SILVA;26288;1813595;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98761209869;-49.41327927035;654575.47;6792349.42;01/01/20 00:00;01/01/20 00:00
Não;6318717;Vapor de Mercúrio;250;A;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;11/01/08 00:00;-28.98721340315;-49.42128839385;653795.72;6792404.05;11/01/08 00:00;11/01/08 00:00
Não;6318725;Diodo Emissor de Luz (LED);100;C;Individual;1;0;0;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98582443268;-49.41654108942;654260.32;6792551.78;01/01/20 00:00;01/01/20 00:00
Não;6320043;Vapor de Mercúrio;250;C;Grupo;1;1;27.78;0;0;0;Não;BALN ARROIO DO SILVA;20741;1301643;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98364032410;-49.41933302042;653991.53;6792797.45;01/01/20 00:00;01/01/20 00:00
Não;6320495;Vapor de Mercúrio;80;B;Individual;3;3;10.91;3;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98043729164;-49.42364535949;653576.09;6793158.0;01/01/20 00:00;01/01/20 00:00
Não;6320503;Vapor de Mercúrio;80;A;Individual;3;3;10.91;3;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98012308838;-49.42389325230;653552.4;6793193.14;01/01/20 00:00;01/01/20 00:00
Não;6320514;Vapor de Mercúrio;80;B;Individual;3;3;10.91;3;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;01/01/20 00:00;-28.98072406607;-49.42369807294;653570.53;6793126.29;01/01/20 00:00;01/01/20 00:00
Não;6328334;Vapor de Mercúrio;400;A;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;05/08/02 00:00;-28.99215337327;-49.41624562793;654279.71;6791850.06;05/08/02 00:00;05/08/02 00:00
Não;6328340;Vapor de Mercúrio;400;A;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;05/08/02 00:00;-28.99235323365;-49.41648101655;654256.48;6791828.22;05/08/02 00:00;05/08/02 00:00
Não;6329145;Vapor de Mercúrio;250;C;Individual;1;1;27.78;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;16/09/09 00:00;-29.01951480848;-49.44959834468;650990.47;6788861.14;16/09/09 00:00;16/09/09 00:00
Não;6328360;Vapor de Sódio;250;A;Individual;1;1;30;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;05/08/02 00:00;-28.99257891135;-49.41671714171;654233.14;6791803.52;05/08/02 00:00;05/08/02 00:00
Não;6328368;Vapor de Mercúrio;400;A;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;05/08/02 00:00;-28.99282103099;-49.41694716682;654210.37;6791776.99;05/08/02 00:00;05/08/02 00:00
Não;6328374;Vapor de Sódio;250;A;Individual;1;1;30;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;05/08/02 00:00;-28.99306399735;-49.41720314844;654185.07;6791750.4;05/08/02 00:00;05/08/02 00:00
Não;6328380;Vapor de Mercúrio;400;A;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;05/08/02 00:00;-28.99352824695;-49.41769009284;654136.94;6791699.59;05/08/02 00:00;05/08/02 00:00
Não;6328387;Vapor de Sódio;250;A;Individual;1;1;30;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;05/08/02 00:00;-28.99375755659;-49.41794361715;654111.9;6791674.51;05/08/02 00:00;05/08/02 00:00
Não;6328395;Vapor de Sódio;250;A;Individual;1;1;30;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;26/08/10 00:00;-28.98792874962;-49.41196428060;654703.12;6792312.61;26/08/10 00:00;26/08/10 00:00
Não;6328401;Vapor de Mercúrio;400;C;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;27/09/09 00:00;-28.99536384179;-49.41963023290;653945.2;6791498.71;27/09/09 00:00;27/09/09 00:00
Não;6328408;Vapor de Mercúrio;400;B;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;27/09/09 00:00;-28.99556079997;-49.41983416757;653925.04;6791477.15;27/09/09 00:00;27/09/09 00:00
Não;6328415;Vapor de Mercúrio;400;C;Individual;1;1;39.56;1;1.2;0;Não;BALN ARROIO DO SILVA;;;Sim;Sim;BALN ARROIO DO SILVA;Urbano;08/06/02 00:00;-28.98692911631;-49.41067885613;654829.85;6792421.7;08/06/02 00:00;08/06/02 00:00
